id;code;codein;name;high;low;varbid;pctchange;bid;ask;create_date
32000;XRP;BRL;XRP/REAL BRASILEIRO;1.99;1.94;0;0.11;1.98;1.98;2023-02-27 21:41:22.363024
32001;USD;BRL;DÓLAR AMERICANO/REAL BRASILEIRO;5.212;5.171;-0.009;-0.17;5.201;5.202;2023-02-27 21:46:22.916142
32002;USD;BRLT;DÓLAR AMERICANO/REAL BRASILEIRO TURISMO;5.235;5.175;-0.005;-0.1;5.07;5.38;2023-02-27 21:46:22.916142
32003;CAD;BRL;DÓLAR CANADENSE/REAL BRASILEIRO;3.839;3.804;0.004;0.12;3.831;3.832;2023-02-27 21:46:22.916142
32004;EUR;BRL;EURO/REAL BRASILEIRO;5.526;5.468;0.024;0.43;5.516;5.52;2023-02-27 21:46:22.916142
32005;GBP;BRL;LIBRA ESTERLINA/REAL BRASILEIRO;6.281;6.203;0.051;0.81;6.273;6.274;2023-02-27 21:46:22.916142
32006;ARS;BRL;PESO ARGENTINO/REAL BRASILEIRO;0.027;0.026;-0;-0.75;0.026;0.026;2023-02-27 21:46:22.916142
32007;BTC;BRL;BITCOIN/REAL BRASILEIRO;124554;120949;-805;-0.65;122091;122110;2023-02-27 21:46:22.916142
32008;LTC;BRL;LITECOIN/REAL BRASILEIRO;501.64;485.32;-8.08;-1.63;489.28;490.56;2023-02-27 21:46:22.916142
32009;JPY;BRL;IENE JAPONÊS/REAL BRASILEIRO;0.038;0.038;0;0.26;0.038;0.038;2023-02-27 21:46:22.916142
32010;CHF;BRL;FRANCO SUÍÇO/REAL BRASILEIRO;5.567;5.505;0.018;0.33;5.557;5.559;2023-02-27 21:46:22.916142
32011;AUD;BRL;DÓLAR AUSTRALIANO/REAL BRASILEIRO;3.513;3.476;0.001;0.03;3.504;3.505;2023-02-27 21:46:22.916142
32012;CNY;BRL;YUAN CHINÊS/REAL BRASILEIRO;0.75;0.745;-0;-0.02;0.749;0.749;2023-02-27 21:46:22.916142
32013;ILS;BRL;NOVO SHEKEL ISRAELENSE/REAL BRASILEIRO;1.426;1.409;-0;-0.02;1.421;1.422;2023-02-27 21:46:22.916142
32014;ETH;BRL;ETHEREUM/REAL BRASILEIRO;8707.93;8425.17;14;0.16;8479.8;8510;2023-02-27 21:46:22.916142
32015;XRP;BRL;XRP/REAL BRASILEIRO;1.99;1.94;0;-0.01;1.98;1.98;2023-02-27 21:46:22.916142
32016;USD;BRL;DÓLAR AMERICANO/REAL BRASILEIRO;5.212;5.171;-0.009;-0.17;5.201;5.202;2023-02-27 21:51:22.817948
32017;USD;BRLT;DÓLAR AMERICANO/REAL BRASILEIRO TURISMO;5.235;5.175;-0.005;-0.1;5.07;5.38;2023-02-27 21:51:22.817948
32018;CAD;BRL;DÓLAR CANADENSE/REAL BRASILEIRO;3.839;3.804;0.004;0.11;3.83;3.832;2023-02-27 21:51:22.817948
32019;EUR;BRL;EURO/REAL BRASILEIRO;5.526;5.468;0.023;0.42;5.516;5.519;2023-02-27 21:51:22.817948
32020;GBP;BRL;LIBRA ESTERLINA/REAL BRASILEIRO;6.281;6.203;0.05;0.81;6.272;6.274;2023-02-27 21:51:22.817948
32021;ARS;BRL;PESO ARGENTINO/REAL BRASILEIRO;0.027;0.026;-0;-0.75;0.026;0.026;2023-02-27 21:51:22.817948
32022;BTC;BRL;BITCOIN/REAL BRASILEIRO;124554;120949;-866;-0.7;122048;122048;2023-02-27 21:51:22.817948
32023;LTC;BRL;LITECOIN/REAL BRASILEIRO;501.64;485.32;-8.08;-1.63;489.28;490.56;2023-02-27 21:51:22.817948
32024;JPY;BRL;IENE JAPONÊS/REAL BRASILEIRO;0.038;0.038;0;0.26;0.038;0.038;2023-02-27 21:51:22.817948
32025;CHF;BRL;FRANCO SUÍÇO/REAL BRASILEIRO;5.567;5.505;0.018;0.33;5.557;5.559;2023-02-27 21:51:22.817948
32026;AUD;BRL;DÓLAR AUSTRALIANO/REAL BRASILEIRO;3.513;3.476;0.001;0.03;3.504;3.505;2023-02-27 21:51:22.817948
32027;CNY;BRL;YUAN CHINÊS/REAL BRASILEIRO;0.75;0.745;-0;-0.02;0.749;0.749;2023-02-27 21:51:22.817948
32028;ILS;BRL;NOVO SHEKEL ISRAELENSE/REAL BRASILEIRO;1.426;1.409;-0.002;-0.12;1.42;1.42;2023-02-27 21:51:22.817948
32029;ETH;BRL;ETHEREUM/REAL BRASILEIRO;8707.93;8425.17;-125.99;-1.47;8475.59;8509.81;2023-02-27 21:51:22.817948
32030;XRP;BRL;XRP/REAL BRASILEIRO;1.99;1.94;0;-0.01;1.98;1.98;2023-02-27 21:51:22.817948
32031;USD;BRL;DÓLAR AMERICANO/REAL BRASILEIRO;5.212;5.171;-0.009;-0.17;5.201;5.202;2023-02-27 21:56:22.979283
32032;USD;BRLT;DÓLAR AMERICANO/REAL BRASILEIRO TURISMO;5.235;5.175;-0.005;-0.1;5.07;5.38;2023-02-27 21:56:22.979283
32033;CAD;BRL;DÓLAR CANADENSE/REAL BRASILEIRO;3.839;3.804;0.005;0.12;3.831;3.832;2023-02-27 21:56:22.979283
32034;EUR;BRL;EURO/REAL BRASILEIRO;5.526;5.468;0.024;0.44;5.517;5.52;2023-02-27 21:56:22.979283
32035;GBP;BRL;LIBRA ESTERLINA/REAL BRASILEIRO;6.281;6.203;0.051;0.81;6.273;6.274;2023-02-27 21:56:22.979283
32036;ARS;BRL;PESO ARGENTINO/REAL BRASILEIRO;0.027;0.026;-0;-0.75;0.026;0.026;2023-02-27 21:56:22.979283
32037;BTC;BRL;BITCOIN/REAL BRASILEIRO;124554;120949;-943;-0.77;121963;121986;2023-02-27 21:56:22.979283
32038;LTC;BRL;LITECOIN/REAL BRASILEIRO;501.64;485.32;-8.08;-1.63;489.28;490.56;2023-02-27 21:56:22.979283
32039;JPY;BRL;IENE JAPONÊS/REAL BRASILEIRO;0.038;0.038;0;0.26;0.038;0.038;2023-02-27 21:56:22.979283
32040;CHF;BRL;FRANCO SUÍÇO/REAL BRASILEIRO;5.567;5.505;0.019;0.34;5.558;5.559;2023-02-27 21:56:22.979283
32041;AUD;BRL;DÓLAR AUSTRALIANO/REAL BRASILEIRO;3.513;3.476;0.002;0.05;3.505;3.506;2023-02-27 21:56:22.979283
32042;CNY;BRL;YUAN CHINÊS/REAL BRASILEIRO;0.75;0.745;-0;-0.02;0.749;0.749;2023-02-27 21:56:22.979283
32043;ILS;BRL;NOVO SHEKEL ISRAELENSE/REAL BRASILEIRO;1.426;1.409;-0.002;-0.12;1.42;1.42;2023-02-27 21:56:22.979283
32044;ETH;BRL;ETHEREUM/REAL BRASILEIRO;8707.93;8425.17;-125.99;-1.47;8473.41;8509.15;2023-02-27 21:56:22.979283
32045;XRP;BRL;XRP/REAL BRASILEIRO;1.99;1.94;0;0.06;1.98;1.98;2023-02-27 21:56:22.979283
32046;USD;BRL;DÓLAR AMERICANO/REAL BRASILEIRO;5.201;5.201;0;0.01;5.201;5.202;2023-02-27 22:01:23.193182
32047;USD;BRLT;DÓLAR AMERICANO/REAL BRASILEIRO TURISMO;5.235;5.175;-0.005;-0.1;5.07;5.38;2023-02-27 22:01:23.193182
32048;CAD;BRL;DÓLAR CANADENSE/REAL BRASILEIRO;3.831;3.83;0;0.01;3.829;3.831;2023-02-27 22:01:23.193182
32049;EUR;BRL;EURO/REAL BRASILEIRO;5.518;5.515;0;0;5.515;5.518;2023-02-27 22:01:23.193182
32050;GBP;BRL;LIBRA ESTERLINA/REAL BRASILEIRO;6.281;6.203;0.052;0.84;6.274;6.277;2023-02-27 22:01:23.193182
32051;ARS;BRL;PESO ARGENTINO/REAL BRASILEIRO;0.026;0.026;0;0;0.026;0.026;2023-02-27 22:01:23.193182
32052;BTC;BRL;BITCOIN/REAL BRASILEIRO;124554;120949;-928;-0.75;121967;121986;2023-02-27 22:01:23.193182
32053;LTC;BRL;LITECOIN/REAL BRASILEIRO;501.64;485.32;-8.08;-1.63;489.03;490.11;2023-02-27 22:01:23.193182
32054;JPY;BRL;IENE JAPONÊS/REAL BRASILEIRO;0.038;0.038;0;0.26;0.038;0.038;2023-02-27 22:01:23.193182
32055;CHF;BRL;FRANCO SUÍÇO/REAL BRASILEIRO;5.558;5.558;0.002;0.03;5.556;5.56;2023-02-27 22:01:23.193182
32056;AUD;BRL;DÓLAR AUSTRALIANO/REAL BRASILEIRO;3.505;3.502;0.002;0.05;3.503;3.505;2023-02-27 22:01:23.193182
32057;CNY;BRL;YUAN CHINÊS/REAL BRASILEIRO;0.75;0.745;-0;-0.02;0.749;0.749;2023-02-27 22:01:23.193182
32058;ILS;BRL;NOVO SHEKEL ISRAELENSE/REAL BRASILEIRO;1.426;1.409;-0.002;-0.13;1.42;1.42;2023-02-27 22:01:23.193182
32059;ETH;BRL;ETHEREUM/REAL BRASILEIRO;8707.93;8425.17;-125.99;-1.47;8478.49;8509.15;2023-02-27 22:01:23.193182
32060;XRP;BRL;XRP/REAL BRASILEIRO;1.99;1.94;0;0.06;1.98;1.98;2023-02-27 22:01:23.193182
32061;USD;BRL;DÓLAR AMERICANO/REAL BRASILEIRO;5.201;5.201;0;0.01;5.201;5.202;2023-02-27 22:06:23.127111
32062;USD;BRLT;DÓLAR AMERICANO/REAL BRASILEIRO TURISMO;5.235;5.175;-0.005;-0.1;5.07;5.38;2023-02-27 22:06:23.127111
32063;CAD;BRL;DÓLAR CANADENSE/REAL BRASILEIRO;3.831;3.83;0;0.01;3.829;3.832;2023-02-27 22:06:23.127111
32064;EUR;BRL;EURO/REAL BRASILEIRO;5.518;5.515;0.001;0.02;5.516;5.519;2023-02-27 22:06:23.127111
32065;GBP;BRL;LIBRA ESTERLINA/REAL BRASILEIRO;6.275;6.272;-0.001;-0.02;6.271;6.274;2023-02-27 22:06:23.127111
32066;ARS;BRL;PESO ARGENTINO/REAL BRASILEIRO;0.026;0.026;0;0;0.026;0.026;2023-02-27 22:06:23.127111
32067;BTC;BRL;BITCOIN/REAL BRASILEIRO;124554;120949;53;0.04;121974;122016;2023-02-27 22:06:23.127111
32068;LTC;BRL;LITECOIN/REAL BRASILEIRO;501.64;485.32;-7.63;-1.54;488.73;490.04;2023-02-27 22:06:23.127111
32069;JPY;BRL;IENE JAPONÊS/REAL BRASILEIRO;0.038;0.038;0;0;0.038;0.038;2023-02-27 22:06:23.127111
32070;CHF;BRL;FRANCO SUÍÇO/REAL BRASILEIRO;5.558;5.558;0.002;0.03;5.556;5.56;2023-02-27 22:06:23.127111
32071;AUD;BRL;DÓLAR AUSTRALIANO/REAL BRASILEIRO;3.505;3.502;0.002;0.05;3.502;3.505;2023-02-27 22:06:23.127111
32072;CNY;BRL;YUAN CHINÊS/REAL BRASILEIRO;0.75;0.745;-0;-0.02;0.749;0.749;2023-02-27 22:06:23.127111
32073;ILS;BRL;NOVO SHEKEL ISRAELENSE/REAL BRASILEIRO;1.426;1.409;-0;-0.04;1.421;1.421;2023-02-27 22:06:23.127111
32074;ETH;BRL;ETHEREUM/REAL BRASILEIRO;8707.93;8425.17;-90.83;-1.06;8479.47;8509.67;2023-02-27 22:06:23.127111
32075;XRP;BRL;XRP/REAL BRASILEIRO;1.99;1.94;0.02;0.84;1.98;1.98;2023-02-27 22:06:23.127111
32076;USD;BRL;DÓLAR AMERICANO/REAL BRASILEIRO;5.201;5.201;0;0.01;5.201;5.202;2023-02-27 22:11:23.421554
32077;USD;BRLT;DÓLAR AMERICANO/REAL BRASILEIRO TURISMO;5.235;5.175;-0.005;-0.1;5.07;5.38;2023-02-27 22:11:23.421554
32078;CAD;BRL;DÓLAR CANADENSE/REAL BRASILEIRO;3.832;3.83;0;0.01;3.83;3.831;2023-02-27 22:11:23.421554
32079;EUR;BRL;EURO/REAL BRASILEIRO;5.518;5.515;-0.001;-0.01;5.514;5.517;2023-02-27 22:11:23.421554
32080;GBP;BRL;LIBRA ESTERLINA/REAL BRASILEIRO;6.275;6.272;-0;0;6.272;6.274;2023-02-27 22:11:23.421554
32081;ARS;BRL;PESO ARGENTINO/REAL BRASILEIRO;0.026;0.026;0;0;0.026;0.026;2023-02-27 22:11:23.421554
32082;BTC;BRL;BITCOIN/REAL BRASILEIRO;124554;120949;222;0.18;122034;122050;2023-02-27 22:11:23.421554
32083;LTC;BRL;LITECOIN/REAL BRASILEIRO;501.64;485.32;-4.42;-0.9;488.96;490.04;2023-02-27 22:11:23.421554
32084;JPY;BRL;IENE JAPONÊS/REAL BRASILEIRO;0.038;0.038;0;0;0.038;0.038;2023-02-27 22:11:23.421554
32085;CHF;BRL;FRANCO SUÍÇO/REAL BRASILEIRO;5.559;5.556;-0;-0.01;5.555;5.557;2023-02-27 22:11:23.421554
32086;AUD;BRL;DÓLAR AUSTRALIANO/REAL BRASILEIRO;3.505;3.502;0.002;0.05;3.503;3.505;2023-02-27 22:11:23.421554
32087;CNY;BRL;YUAN CHINÊS/REAL BRASILEIRO;0.75;0.745;-0;-0.02;0.749;0.749;2023-02-27 22:11:23.421554
32088;ILS;BRL;NOVO SHEKEL ISRAELENSE/REAL BRASILEIRO;1.426;1.409;-0;-0.04;1.421;1.421;2023-02-27 22:11:23.421554
32089;ETH;BRL;ETHEREUM/REAL BRASILEIRO;8707.93;8425.17;-90.83;-1.06;8472.43;8509.67;2023-02-27 22:11:23.421554
32090;XRP;BRL;XRP/REAL BRASILEIRO;1.99;1.94;0.02;0.84;1.98;1.98;2023-02-27 22:11:23.421554
32091;USD;BRL;DÓLAR AMERICANO/REAL BRASILEIRO;5.201;5.201;0;0.01;5.201;5.202;2023-02-27 22:16:22.328963
32092;USD;BRLT;DÓLAR AMERICANO/REAL BRASILEIRO TURISMO;5.235;5.175;-0.005;-0.1;5.07;5.38;2023-02-27 22:16:22.328963
32093;CAD;BRL;DÓLAR CANADENSE/REAL BRASILEIRO;3.832;3.83;0.002;0.05;3.831;3.833;2023-02-27 22:16:22.328963
32094;EUR;BRL;EURO/REAL BRASILEIRO;5.518;5.515;0;0;5.515;5.518;2023-02-27 22:16:22.328963
32095;GBP;BRL;LIBRA ESTERLINA/REAL BRASILEIRO;6.275;6.271;-0.002;-0.02;6.269;6.274;2023-02-27 22:16:22.328963
32096;ARS;BRL;PESO ARGENTINO/REAL BRASILEIRO;0.026;0.026;0;0;0.026;0.026;2023-02-27 22:16:22.328963
32097;BTC;BRL;BITCOIN/REAL BRASILEIRO;124554;120949;171;0.14;122102;122117;2023-02-27 22:16:22.328963
32098;LTC;BRL;LITECOIN/REAL BRASILEIRO;501.64;485.32;-4.42;-0.9;490.2;490.21;2023-02-27 22:16:22.328963
32099;JPY;BRL;IENE JAPONÊS/REAL BRASILEIRO;0.038;0.038;0;0;0.038;0.038;2023-02-27 22:16:22.328963
32100;CHF;BRL;FRANCO SUÍÇO/REAL BRASILEIRO;5.559;5.558;0.002;0.04;5.557;5.56;2023-02-27 22:16:22.328963
32101;AUD;BRL;DÓLAR AUSTRALIANO/REAL BRASILEIRO;3.505;3.502;0.002;0.05;3.503;3.504;2023-02-27 22:16:22.328963
32102;CNY;BRL;YUAN CHINÊS/REAL BRASILEIRO;0.75;0.745;-0;-0.02;0.749;0.749;2023-02-27 22:16:22.328963
32103;ILS;BRL;NOVO SHEKEL ISRAELENSE/REAL BRASILEIRO;1.426;1.409;-0;-0.04;1.421;1.421;2023-02-27 22:16:22.328963
32104;ETH;BRL;ETHEREUM/REAL BRASILEIRO;8707.93;8425.17;-89.98;-1.05;8480.56;8510;2023-02-27 22:16:22.328963
32105;XRP;BRL;XRP/REAL BRASILEIRO;1.99;1.94;0;0.17;1.98;1.98;2023-02-27 22:16:22.328963
32106;USD;BRL;DÓLAR AMERICANO/REAL BRASILEIRO;5.201;5.201;0;0.01;5.201;5.202;2023-02-27 22:21:22.910902
32107;USD;BRLT;DÓLAR AMERICANO/REAL BRASILEIRO TURISMO;5.235;5.175;-0.005;-0.1;5.07;5.38;2023-02-27 22:21:22.910902
32108;CAD;BRL;DÓLAR CANADENSE/REAL BRASILEIRO;3.832;3.83;0.002;0.04;3.831;3.832;2023-02-27 22:21:22.910902
32109;EUR;BRL;EURO/REAL BRASILEIRO;5.518;5.515;0.002;0.03;5.516;5.52;2023-02-27 22:21:22.910902
32110;GBP;BRL;LIBRA ESTERLINA/REAL BRASILEIRO;6.275;6.271;-0.002;-0.02;6.27;6.273;2023-02-27 22:21:22.910902
32111;ARS;BRL;PESO ARGENTINO/REAL BRASILEIRO;0.026;0.026;0;0;0.026;0.026;2023-02-27 22:21:22.910902
32112;BTC;BRL;BITCOIN/REAL BRASILEIRO;124554;120949;212;0.17;122146;122146;2023-02-27 22:21:22.910902
32113;LTC;BRL;LITECOIN/REAL BRASILEIRO;501.64;485.32;-4.42;-0.9;490.2;490.3;2023-02-27 22:21:22.910902
32114;JPY;BRL;IENE JAPONÊS/REAL BRASILEIRO;0.038;0.038;0;0;0.038;0.038;2023-02-27 22:21:22.910902
32115;CHF;BRL;FRANCO SUÍÇO/REAL BRASILEIRO;5.559;5.556;0.001;0.01;5.556;5.559;2023-02-27 22:21:22.910902
32116;AUD;BRL;DÓLAR AUSTRALIANO/REAL BRASILEIRO;3.505;3.502;0.001;0.04;3.502;3.505;2023-02-27 22:21:22.910902
32117;CNY;BRL;YUAN CHINÊS/REAL BRASILEIRO;0.75;0.745;-0;-0.02;0.749;0.749;2023-02-27 22:21:22.910902
32118;ILS;BRL;NOVO SHEKEL ISRAELENSE/REAL BRASILEIRO;1.426;1.409;-0;-0.04;1.421;1.421;2023-02-27 22:21:22.910902
32119;ETH;BRL;ETHEREUM/REAL BRASILEIRO;8707.93;8425.17;-89.98;-1.05;8484.73;8510;2023-02-27 22:21:22.910902
32120;XRP;BRL;XRP/REAL BRASILEIRO;1.99;1.94;0.02;0.84;1.98;1.98;2023-02-27 22:21:22.910902
32121;USD;BRL;DÓLAR AMERICANO/REAL BRASILEIRO;5.201;5.201;0;0.01;5.201;5.202;2023-02-27 22:26:22.973287
32122;USD;BRLT;DÓLAR AMERICANO/REAL BRASILEIRO TURISMO;5.235;5.175;-0.005;-0.1;5.07;5.38;2023-02-27 22:26:22.973287
32123;CAD;BRL;DÓLAR CANADENSE/REAL BRASILEIRO;3.833;3.83;0.002;0.04;3.831;3.832;2023-02-27 22:26:22.973287
32124;EUR;BRL;EURO/REAL BRASILEIRO;5.518;5.515;0.002;0.04;5.517;5.52;2023-02-27 22:26:22.973287
32125;GBP;BRL;LIBRA ESTERLINA/REAL BRASILEIRO;6.275;6.271;-0.001;-0.02;6.271;6.273;2023-02-27 22:26:22.973287
32126;ARS;BRL;PESO ARGENTINO/REAL BRASILEIRO;0.026;0.026;0;0;0.026;0.026;2023-02-27 22:26:22.973287
32127;BTC;BRL;BITCOIN/REAL BRASILEIRO;124554;120949;207;0.17;122140;122140;2023-02-27 22:26:22.973287
32128;LTC;BRL;LITECOIN/REAL BRASILEIRO;501.64;485.32;-4.42;-0.9;490.2;490.3;2023-02-27 22:26:22.973287
32129;JPY;BRL;IENE JAPONÊS/REAL BRASILEIRO;0.038;0.038;0;0;0.038;0.038;2023-02-27 22:26:22.973287
32130;CHF;BRL;FRANCO SUÍÇO/REAL BRASILEIRO;5.559;5.556;0.002;0.03;5.556;5.56;2023-02-27 22:26:22.973287
32131;AUD;BRL;DÓLAR AUSTRALIANO/REAL BRASILEIRO;3.505;3.502;0.001;0.04;3.502;3.505;2023-02-27 22:26:22.973287
32132;CNY;BRL;YUAN CHINÊS/REAL BRASILEIRO;0.75;0.745;-0;-0.02;0.749;0.749;2023-02-27 22:26:22.973287
32133;ILS;BRL;NOVO SHEKEL ISRAELENSE/REAL BRASILEIRO;1.426;1.409;-0;-0.04;1.421;1.421;2023-02-27 22:26:22.973287
32134;ETH;BRL;ETHEREUM/REAL BRASILEIRO;8707.93;8425.17;-89.98;-1.05;8472.32;8509.96;2023-02-27 22:26:22.973287
32135;XRP;BRL;XRP/REAL BRASILEIRO;1.99;1.94;0.01;0.74;1.98;1.98;2023-02-27 22:26:22.973287
32136;USD;BRL;DÓLAR AMERICANO/REAL BRASILEIRO;5.201;5.201;0;0.01;5.201;5.202;2023-02-27 22:31:23.24814
32137;USD;BRLT;DÓLAR AMERICANO/REAL BRASILEIRO TURISMO;5.235;5.175;-0.005;-0.1;5.07;5.38;2023-02-27 22:31:23.24814
32138;CAD;BRL;DÓLAR CANADENSE/REAL BRASILEIRO;3.833;3.83;0.002;0.06;3.831;3.834;2023-02-27 22:31:23.24814
32139;EUR;BRL;EURO/REAL BRASILEIRO;5.519;5.515;0.002;0.03;5.517;5.519;2023-02-27 22:31:23.24814
32140;GBP;BRL;LIBRA ESTERLINA/REAL BRASILEIRO;6.275;6.271;-0.002;-0.03;6.27;6.273;2023-02-27 22:31:23.24814
32141;ARS;BRL;PESO ARGENTINO/REAL BRASILEIRO;0.026;0.026;0;0;0.026;0.026;2023-02-27 22:31:23.24814
32142;BTC;BRL;BITCOIN/REAL BRASILEIRO;124554;120949;125;0.1;122059;122059;2023-02-27 22:31:23.24814
32143;LTC;BRL;LITECOIN/REAL BRASILEIRO;501.64;485.32;-3.65;-0.74;488.5;489.72;2023-02-27 22:31:23.24814
32144;JPY;BRL;IENE JAPONÊS/REAL BRASILEIRO;0.038;0.038;0;0;0.038;0.038;2023-02-27 22:31:23.24814
32145;CHF;BRL;FRANCO SUÍÇO/REAL BRASILEIRO;5.559;5.556;0.002;0.03;5.556;5.56;2023-02-27 22:31:23.24814
32146;AUD;BRL;DÓLAR AUSTRALIANO/REAL BRASILEIRO;3.505;3.502;0.001;0.02;3.502;3.504;2023-02-27 22:31:23.24814
32147;CNY;BRL;YUAN CHINÊS/REAL BRASILEIRO;0.75;0.745;-0;-0.02;0.749;0.749;2023-02-27 22:31:23.24814
32148;ILS;BRL;NOVO SHEKEL ISRAELENSE/REAL BRASILEIRO;1.426;1.409;-0;-0.04;1.421;1.421;2023-02-27 22:31:23.24814
32149;ETH;BRL;ETHEREUM/REAL BRASILEIRO;8707.93;8425.17;-89.98;-1.05;8468.28;8509.85;2023-02-27 22:31:23.24814
32150;XRP;BRL;XRP/REAL BRASILEIRO;1.99;1.94;0.02;0.84;1.98;1.98;2023-02-27 22:31:23.24814
32151;USD;BRL;DÓLAR AMERICANO/REAL BRASILEIRO;5.201;5.201;0;0.01;5.201;5.202;2023-02-27 22:36:22.159299
32152;USD;BRLT;DÓLAR AMERICANO/REAL BRASILEIRO TURISMO;5.235;5.175;-0.005;-0.1;5.07;5.38;2023-02-27 22:36:22.159299
32153;CAD;BRL;DÓLAR CANADENSE/REAL BRASILEIRO;3.833;3.83;0.002;0.07;3.831;3.834;2023-02-27 22:36:22.159299
32154;EUR;BRL;EURO/REAL BRASILEIRO;5.519;5.515;0.002;0.03;5.518;5.519;2023-02-27 22:36:22.159299
32155;GBP;BRL;LIBRA ESTERLINA/REAL BRASILEIRO;6.275;6.271;-0;-0.01;6.27;6.275;2023-02-27 22:36:22.159299
32156;ARS;BRL;PESO ARGENTINO/REAL BRASILEIRO;0.026;0.026;0;0;0.026;0.026;2023-02-27 22:36:22.159299
32157;BTC;BRL;BITCOIN/REAL BRASILEIRO;124554;120949;203;0.17;122136;122136;2023-02-27 22:36:22.159299
32158;LTC;BRL;LITECOIN/REAL BRASILEIRO;501.64;485.32;-7.63;-1.54;489.1;490.11;2023-02-27 22:36:22.159299
32159;JPY;BRL;IENE JAPONÊS/REAL BRASILEIRO;0.038;0.038;0;0;0.038;0.038;2023-02-27 22:36:22.159299
32160;CHF;BRL;FRANCO SUÍÇO/REAL BRASILEIRO;5.559;5.556;0.001;0.01;5.556;5.559;2023-02-27 22:36:22.159299
32161;AUD;BRL;DÓLAR AUSTRALIANO/REAL BRASILEIRO;3.505;3.502;0.002;0.05;3.503;3.504;2023-02-27 22:36:22.159299
32162;CNY;BRL;YUAN CHINÊS/REAL BRASILEIRO;0.75;0.745;-0;-0.02;0.749;0.749;2023-02-27 22:36:22.159299
32163;ILS;BRL;NOVO SHEKEL ISRAELENSE/REAL BRASILEIRO;1.426;1.409;-0;-0.04;1.421;1.421;2023-02-27 22:36:22.159299
32164;ETH;BRL;ETHEREUM/REAL BRASILEIRO;8707.93;8425.17;-89.98;-1.05;8469.86;8509.85;2023-02-27 22:36:22.159299
