id;code;codein;name;high;low;varbid;pctchange;bid;ask;create_date
31977;USD;BRL;DÓLAR AMERICANO/REAL BRASILEIRO;5.212;5.171;-0.009;-0.17;5.201;5.202;2023-02-27 21:38:49.715686
31978;USD;BRLT;DÓLAR AMERICANO/REAL BRASILEIRO TURISMO;5.235;5.175;-0.005;-0.1;5.07;5.38;2023-02-27 21:38:49.715686
31979;CAD;BRL;DÓLAR CANADENSE/REAL BRASILEIRO;3.839;3.804;0.004;0.12;3.831;3.832;2023-02-27 21:38:49.715686
31980;EUR;BRL;EURO/REAL BRASILEIRO;5.526;5.468;0.022;0.41;5.515;5.518;2023-02-27 21:38:49.715686
31981;GBP;BRL;LIBRA ESTERLINA/REAL BRASILEIRO;6.281;6.203;0.05;0.8;6.272;6.273;2023-02-27 21:38:49.715686
31982;LTC;BRL;LITECOIN/REAL BRASILEIRO;501.64;485.32;-7.87;-1.58;488.86;490.1;2023-02-27 21:38:49.715686
31983;CHF;BRL;FRANCO SUÍÇO/REAL BRASILEIRO;5.567;5.505;0.018;0.32;5.556;5.558;2023-02-27 21:38:49.715686
31984;AUD;BRL;DÓLAR AUSTRALIANO/REAL BRASILEIRO;3.513;3.476;0.001;0.03;3.504;3.505;2023-02-27 21:38:49.715686
31985;ETH;BRL;ETHEREUM/REAL BRASILEIRO;8707.93;8425.17;-58.02;-0.68;8473.34;8509.98;2023-02-27 21:38:49.715686
31986;USD;BRL;DÓLAR AMERICANO/REAL BRASILEIRO;5.212;5.171;-0.009;-0.17;5.201;5.202;2023-02-27 21:41:22.363024
31987;USD;BRLT;DÓLAR AMERICANO/REAL BRASILEIRO TURISMO;5.235;5.175;-0.005;-0.1;5.07;5.38;2023-02-27 21:41:22.363024
31988;CAD;BRL;DÓLAR CANADENSE/REAL BRASILEIRO;3.839;3.804;0.005;0.12;3.831;3.832;2023-02-27 21:41:22.363024
31989;EUR;BRL;EURO/REAL BRASILEIRO;5.526;5.468;0.023;0.42;5.516;5.519;2023-02-27 21:41:22.363024
31990;GBP;BRL;LIBRA ESTERLINA/REAL BRASILEIRO;6.281;6.203;0.05;0.81;6.272;6.274;2023-02-27 21:41:22.363024
31991;ARS;BRL;PESO ARGENTINO/REAL BRASILEIRO;0.027;0.026;-0;-0.75;0.026;0.026;2023-02-27 21:41:22.363024
31992;BTC;BRL;BITCOIN/REAL BRASILEIRO;124554;120949;-866;-0.7;122048;122048;2023-02-27 21:41:22.363024
31993;LTC;BRL;LITECOIN/REAL BRASILEIRO;501.64;485.32;-8.08;-1.63;489.09;490.16;2023-02-27 21:41:22.363024
31994;JPY;BRL;IENE JAPONÊS/REAL BRASILEIRO;0.038;0.038;0;0.26;0.038;0.038;2023-02-27 21:41:22.363024
31995;CHF;BRL;FRANCO SUÍÇO/REAL BRASILEIRO;5.567;5.505;0.018;0.32;5.556;5.558;2023-02-27 21:41:22.363024
31996;AUD;BRL;DÓLAR AUSTRALIANO/REAL BRASILEIRO;3.513;3.476;0.001;0.03;3.504;3.505;2023-02-27 21:41:22.363024
31997;CNY;BRL;YUAN CHINÊS/REAL BRASILEIRO;0.75;0.745;-0;-0.02;0.749;0.749;2023-02-27 21:41:22.363024
31998;ILS;BRL;NOVO SHEKEL ISRAELENSE/REAL BRASILEIRO;1.426;1.409;-0.002;-0.11;1.42;1.42;2023-02-27 21:41:22.363024
31999;ETH;BRL;ETHEREUM/REAL BRASILEIRO;8707.93;8425.17;-58.02;-0.68;8474.17;8509.92;2023-02-27 21:41:22.363024
